spikerate,info,index,genotype,months,.
35.55555556,33.40503143,335,Degenerative,2,
25.55555556,21.42578593,348,Degenerative,2,
40.55555556,36.56506283,351,Degenerative,2,
40.77777778,38.39394454,352,Degenerative,2,
22.22222222,31.81975853,353,Degenerative,2,
25.66666667,22.76984363,356,Degenerative,2,
35.22222222,24.32838924,357,Degenerative,2,
27.66666667,32.71793994,360,Degenerative,2,
40.77777778,42.81501879,366,Degenerative,2,
22.11111111,22.87895882,369,Degenerative,2,
23.11111111,24.36900089,370,Degenerative,2,
39.22222222,26.7929715,376,Degenerative,2,
32.66666667,21.93459676,378,Degenerative,2,
24.11111111,25.1520708,384,Degenerative,2,
42,34.79133675,387,Degenerative,2,
46.44444444,33.65199646,388,Degenerative,2,
34.33333333,39.49540488,389,Degenerative,2,
22.22222222,22.58348054,390,Degenerative,2,
23.66666667,22.88045672,394,Degenerative,2,
19.11111111,25.80248366,405,Degenerative,2,
16.33333333,25.04386347,414,Degenerative,2,
25.33333333,24.07122213,422,Degenerative,2,
15.88888889,22.04263679,425,Degenerative,2,
38.55555556,30.04502226,433,Degenerative,2,
27.55555556,24.14278584,442,Degenerative,2,
31.88888889,31.69353972,448,Degenerative,2,
42.66666667,39.34225035,459,Degenerative,2,
43,41.05141552,460,Degenerative,2,
27.33333333,32.30374456,465,Degenerative,2,
32.33333333,33.09738521,475,Degenerative,2,
22.66666667,24.13764719,484,Degenerative,2,
19.33333333,25.43026284,485,Degenerative,2,
12,11.10357309,11,Degenerative,2,
13.66666667,10.71440794,22,Degenerative,2,
32.44444444,29.62916678,28,Degenerative,2,
17.66666667,18.22916069,29,Degenerative,2,
41.88888889,25.5161067,37,Degenerative,2,
12.22222222,21.92938581,38,Degenerative,2,
54.22222222,30.45196556,39,Degenerative,2,
16.77777778,11.04564781,40,Degenerative,2,
11,20.05995918,44,Degenerative,2,
12.66666667,18.94444127,53,Degenerative,2,
26.66666667,25.60923499,75,Degenerative,2,
7.111111111,13.24068275,80,Degenerative,2,
35.44444444,30.5614858,85,Degenerative,2,
13,15.758045,86,Degenerative,2,
40.11111111,32.99501552,90,Degenerative,2,
6.555555556,11.39262502,94,Degenerative,2,
36.66666667,40.93940346,108,Degenerative,2,
46.11111111,21.89267252,113,Degenerative,2,
13.66666667,11.0124142,114,Degenerative,2,
44.66666667,37.0677691,116,Degenerative,2,
17.22222222,27.45541361,149,Degenerative,2,
6.777777778,10.7054457,150,Degenerative,2,
13.66666667,14.86216259,151,Degenerative,2,
7.222222222,14.53417087,152,Degenerative,2,
53.33333333,26.12838086,161,Degenerative,2,
57.66666667,39.26612922,162,Degenerative,2,
8.444444444,11.27891285,168,Degenerative,2,
17,24.06336825,173,Degenerative,2,
63.88888889,42.01288312,187,Degenerative,2,
51.88888889,37.25479973,207,Degenerative,2,
23.44444444,14.54452372,230,Degenerative,2,
13.44444444,11.04784227,235,Degenerative,2,
7.111111111,14.93622247,244,Degenerative,2,
30.66666667,33.14819481,264,Degenerative,2,
27.33333333,33.23143454,269,Degenerative,2,
10.44444444,11.37055279,276,Degenerative,2,
9.666666667,10.53267489,277,Degenerative,2,
9,11.26855806,281,Degenerative,2,
17.44444444,14.3147148,327,Degenerative,2,
45.11111111,42.69489582,338,Degenerative,2,
16,14.55760526,339,Degenerative,2,
29.88888889,35.39586794,351,Degenerative,2,
6.222222222,11.57548662,361,Degenerative,2,
11.11111111,10.3645721,400,Degenerative,2,
17.44444444,18.42046811,411,Degenerative,2,
22.22222222,22.62000367,412,Degenerative,2,
26.77777778,32.47075739,427,Degenerative,2,
27.55555556,25.58352751,428,Degenerative,2,
14.44444444,21.02990935,429,Degenerative,2,
33.33333333,34.36955481,439,Degenerative,2,
9.555555556,10.56476001,440,Degenerative,2,
21.88888889,33.62656645,443,Degenerative,2,
64.44444444,45.07480031,452,Degenerative,2,
5.777777778,10.59267632,463,Degenerative,2,
9.222222222,16.2968406,473,Degenerative,2,
39.11111111,29.60641343,475,Degenerative,2,
67.88888889,50.69228634,476,Degenerative,2,
45,31.13319056,482,Degenerative,2,
9.888888889,13.40554394,494,Degenerative,2,
17.44444444,14.20856932,496,Degenerative,2,
39.66666667,19.56755335,546,Degenerative,2,
12.55555556,19.09445507,549,Degenerative,2,
13.77777778,18.80975324,550,Degenerative,2,
30.33333333,30.70815423,610,Degenerative,2,
8.777777778,15.84524748,620,Degenerative,2,
5.888888889,11.68024902,47,Degenerative,3,
3.777777778,7.541263053,50,Degenerative,3,
4,8.540383506,71,Degenerative,3,
4.444444444,9.467180266,72,Degenerative,3,
13.88888889,12.82675068,103,Degenerative,3,
